SALDO ANTERIOR|6409.23
13-07-2026|122528|FERRETERIA ESPANA GT|549.30|27618.30
13-07-2026|125658|LA BODEGONA GT|276.80|27341.50
13-07-2026|137485|DIST LA NUEVA NARANJO GT|333.71|27007.79
13-07-2026|215252|MUNI ANTIGUA GUATEMA P GT|5.00|27002.79
14-07-2026|914381|VISANET AF:087972000|3142.85|30145.64
14-07-2026|2378|ATM 095 AGENCIA RECOLECCION ANTIGUA|300.00|29845.64
15-07-2026|143876|ACH CORSAGA, SOCIEDAD AN A|3500.00|33345.64
15-07-2026|677046|VISANET AF:087972000|2014.58|35360.22
15-07-2026|150926|LA BODEGONA SN ANTONIO GT|74.95|35285.27
15-07-2026|159934|S28 Admin Abogada|550.00|34735.27
15-07-2026|159941|S28 Mejoras|380.00|34355.27
15-07-2026|180808|S27 Marvin|850.00|33505.27
15-07-2026|180819|S27 Eddy|600.00|32905.27
15-07-2026|180824|S27 Melvin|150.00|32755.27
15-07-2026|180827|S27 Fernanda|800.00|31955.27
15-07-2026|180843|Renta Julio 2026|20212.50|11742.77
15-07-2026|196827|S14 mixokit Varios|350.00|11392.77
15-07-2026|196844|S14 Doorways 3332327238|763.00|10629.77
15-07-2026|196855|S14 Industrias VSG 3042722072|450.00|10179.77
15-07-2026|196873|S14 Blue Ice 4052502321|425.00|9754.77
15-07-2026|210610|S14 Elite Varias|1592.00|8162.77
15-07-2026|232774|S14 2onzas 1316765870|245.00|7917.77
15-07-2026|241944|S15 2onzas 2230536655|490.00|7427.77
15-07-2026|255458|S14 tavito 1314931753|200.00|7227.77
15-07-2026|255484|S14 Belca 3100263879|330.00|6897.77
15-07-2026|264330|S15 Blue Ice 1594246863|272.00|6625.77
15-07-2026|264351|S15 Entrevinos 2119913302|280.00|6345.77
15-07-2026|264369|S15 Doorways 4270801402|580.92|5764.85
16-07-2026|756098|VISANET AF:087972000|4022.63|9787.48
16-07-2026|191295|LA COFRADIA DE LOS VIN GT|2150.00|7637.48
17-07-2026|7749|ATM 095 AGENCIA RECOLECCION ANTIGUA|1500.00|6137.48
17-07-2026|170264|LA TORRE ANTIGUA 2 DB GT|181.72|5955.76
17-07-2026|213827|AVICOLA VILLALOBOS GT|631.55|5324.21
18-07-2026|590586|VISANET AF:087972000|5421.63|10745.84
18-07-2026|9431|ATM 095 AGENCIA RECOLECCION ANTIGUA|1600.00|9145.84
19-07-2026|765660|VISANET AF:087972000|6315.15|15460.99
19-07-2026|995976|VISANET AF:087972000|5699.27|21160.26
20-07-2026|222500|ACH CUENTA CANCELADA|850.00|22010.26
20-07-2026|106725|PAGO ELECTRONICO BCA.TOTAL|2003.89|20006.37
20-07-2026|119039|1a julio Jeffry|2500.00|17506.37
20-07-2026|119040|1a Julio Nadia|2000.00|15506.37
20-07-2026|119057|1a Julio Efrain|2000.00|13506.37
20-07-2026|119061|Marketing Julio|2000.00|11506.37
20-07-2026|167959|S29 Fernanda|800.00|10706.37
20-07-2026|167961|S29 Andre|200.00|10506.37
20-07-2026|168424|S29 Marvin|850.00|9656.37
20-07-2026|168427|S29 Eddy|600.00|9056.37
20-07-2026|185394|S29 Melvin|150.00|8906.37
20-07-2026|191868|MUNI ANTIGUA GUATEMA P GT|5.00|8901.37
20-07-2026|201286|1a Julio Jose|2500.00|6401.37
20-07-2026|246763|LA TORRE ANTIGUA 3 DB GT|650.65|5750.72
20-07-2026|20152786|BANCA ELECTRONICA|1592.85|4157.87
21-07-2026|792168|VISANET AF:087972000|4387.55|8545.42
22-07-2026|146779|ACH CORSAGA, SOCIEDAD AN A|4000.00|12545.42
22-07-2026|521919|VISANET AF:087972000|1137.29|13682.71
22-07-2026|924193|VISANET AF:087972000|4715.22|18397.93
22-07-2026|96331|Renta Panorama julio 2026|10000.00|8397.93
22-07-2026|140411|DANNA S STORE GT|800.00|7597.93
22-07-2026|180961|S29 Marvin|850.00|6747.93
22-07-2026|186559|DANNA S STORE GT|800.00|5947.93
22-07-2026|189584|DANNA S STORE GT|800.00|5147.93
22-07-2026|241976|S29 Mantenimiento|1000.00|4147.93
23-07-2026|717222|VISANET AF:087972000|1931.08|6079.01
24-07-2026|710651|VISANET AF:087972000|1096.01|7175.02
24-07-2026|119650|S30 Mercado Varios|1241.00|5934.02
25-07-2026|106718|VISANET AF:087972000|2789.86|8723.88
26-07-2026|997354|VISANET AF:087972000|9956.60|18680.48
27-07-2026|135262|ACH CORSAGA, SOCIEDAD AN A|3500.00|22180.48
27-07-2026|230914|ACH CORSAGA, SOCIEDAD AN A|250.00|22430.48
27-07-2026|141722|S30 Uniformes|1600.00|20830.48
27-07-2026|151225|S30 Marvin|700.00|20130.48
27-07-2026|169018|S30 Eddy|750.00|19380.48
27-07-2026|169032|S30 Melvin|150.00|19230.48
27-07-2026|169051|S30 Fernanda|800.00|18430.48
27-07-2026|169059|S30 Andre Toni|400.00|18030.48
27-07-2026|173855|EX Security Julio 2026|250.00|17780.48
27-07-2026|173858|Grupo Eco julio 2026|1250.00|16530.48
27-07-2026|327666|PAGOS DE IMPUESTOS DECLARAGUATE|2963.62|13566.86
27-07-2026|585306|PAGOS DE IMPUESTOS DECLARAGUATE|9773.00|3793.86
28-07-2026|455299|VISANET AF:087972000|4778.83|8572.69
28-07-2026|963009|VISANET AF:087972000|3423.74|11996.43
28-07-2026|167991|Propina Junio 2026|915.00|11081.43
28-07-2026|167995|Propina Junio 2026 Efrain|915.00|10166.43
28-07-2026|167998|Propina Junio 2026 Nadia|915.00|9251.43
28-07-2026|168002|Propina Junio 2026 Fernanda|915.00|8336.43
29-07-2026|363956|VISANET AF:087972000|3496.99|11833.42
29-07-2026|122173|Jardineria julio 2026|1000.00|10833.42
29-07-2026|187993|S30 Xelac Varios|1114.00|9719.42
29-07-2026|188020|S30 Mariscos 3555282157|912.00|8807.42
29-07-2026|202346|S30 Carniceria Mercado|690.00|8117.42
29-07-2026|203901|S30 Cofradia 1213614860|1140.00|6977.42
29-07-2026|217381|S30 Mercado Verduras|866.00|6111.42
29-07-2026|217394|S30 Altogas 2311802003|1491.00|4620.42
29-07-2026|232089|S30 Doorways Varios|703.00|3917.42
